AK23,PAAM,Driftwood AF Airport,53.9711111,-166.8772222,UTC
AK32,PFNU,Oooguruk Island,70.4954222,-150.2534667,:America/Anchorage
AK7,PAAN,Gold King Creek,64.1980556,-147.9286111,:America/Anchorage
AK78,PABP,Badami,70.1374667,-147.0304389,:America/Anchorage
AKA,PAAK,Atka,52.2205861,-174.2061833,UTC
AKD,VAAK,Akola,20.698517,77.05765,:Asia/Kolkata
AKE,FOGA,Akieni,-1.13967,13.9036,:Africa/Libreville
AKF,HLKF,Kufra,24.178728,23.313958,:Africa/Tripoli
AKH,KAKH,Gastonia Muni,35.2026389,-81.1498889,:America/New_York
AKI,PFAK,Akiak,60.9028889,-161.2305833,UTC
AKJ,RJEC,Asahikawa,43.670833,142.4475,:Asia/Tokyo
AKK,PAKH,Akhiok,56.9386908,-154.1825556,UTC
AKL,NZAA,Auckland,-37.008056,174.791667,:Pacific/Auckland
AKN,PAKN,King Salmon,58.6764935,-156.648691,:America/Anchorage
AKO,KAKO,Colorado Plains Rgnl,40.1756389,-103.2220278,:America/Denver
AKP,PAKP,Anaktuvuk Pass,68.1336111,-151.7433333,:America/Anchorage
AKQ,KAKQ,Wakefield Muni,36.9872222,-77.0011389,:America/New_York
AKR,DNAK,Akure,7.246739,5.301008,:Africa/Lagos
AKR,KAKR,Akron Fulton Intl,41.0375,-81.4669167,:America/New_York
AKS,AGGA,Auki,-8.702569,160.681739,:Pacific/Guadalcanal
AKT,LCRA,RAF Akrotiri,34.590416,32.987861,:Europe/Nicosia
AKU,ZWAK,Aksu,41.2625,80.291667,:Asia/Shanghai
AKV,CYKO,Akulivik,60.818611,-78.148611,:America/Montreal
AKW,PAKW,Klawock,55.5792333,-133.0759972,:America/Anchorage
AKX,UATT,Aktyubinsk,50.245556,57.207222,:Asia/Almaty
AKY,VYSW,Sittwe,20.132708,92.872628,:Asia/Rangoon
ALA,UAAA,Almaty,43.352072,77.040508,:Asia/Almaty
ALB,KALB,Albany Intl,42.7491111,-73.8019722,:America/New_York
ALC,LEAL,Alicante,38.282169,-0.558156,:Europe/Madrid
ALD,SPAR,Alerta,-11.683,-69.333,:America/Lima
ALF,ENAT,Alta,69.976111,23.371667,:Europe/Oslo
ALG,DAAG,Houari Boumedienne,36.691014,3.215408,:Africa/Algiers
ALH,YABA,Albany,-34.943333,117.808889,:Australia/Perth
ALI,KALI,Alice Intl,27.7408889,-98.0269444,:America/Chicago
ALL,LIMG,Villanova d'Albenga Int'l (C. Panero),44.050608,8.127428,:Europe/Rome
ALM,KALM,Alamogordo Rgnl,32.8412778,-105.9888611,:America/Denver
ALN,KALN,St Louis Rgnl,38.8899167,-90.046,:America/Chicago
ALO,KALO,Waterloo Rgnl,42.5570833,-92.4003333,:America/Chicago
ALP,OSAP,Aleppo Int'l,36.180675,37.224358,:Asia/Damascus
ALQ,SSAL,Federal,-29.800274,-55.763054,:America/Sao_Paulo
ALR,NZLX,Alexandra Aerodrome,-45.211666,169.373333,:Pacific/Auckland
ALS,KALS,San Luis Valley Rgnl,37.4349167,-105.8665556,:America/Denver
ALU,HCMA,Alula,11.95,50.733,:Africa/Mogadishu
ALW,KALW,Walla Walla Rgnl,46.0947778,-118.289,:America/Los_Angeles
ALX,KALX,Thomas C Russell Fld,32.91475,-85.9629444,:America/Chicago
ALY,HEAX,El Nhouza,31.183903,29.948889,:Africa/Cairo
AMA,KAMA,Amarillo Intl,35.2193611,-101.7059167,:America/Chicago
AMC,FTTN,Am-Timan,11.034,20.274,:Africa/Ndjamena
AMD,VAAH,Sardar Vallabhbhai Patel Int'l (Ahmadabad),23.077242,72.63465,:Asia/Kolkata
AMG,KAMG,Bacon County,31.5360556,-82.5065556,:America/New_York
AMH,HAAM,Arba Minch,6.039389,37.590453,:Africa/Addis_Ababa
AMJ,SNAR,Almenara,-16.165963,-40.684436,:America/Sao_Paulo
AMM,OJAI,Queen Alia Int'l,31.722556,35.993214,:Asia/Amman
AMN,KAMN,Gratiot Community,43.3221389,-84.6879444,:America/New_York
AMO,FTTU,Mao,14.145556,15.314444,:Africa/Ndjamena
AMP,FMSY,Ampanihy,-24.699722,44.734167,:Indian/Antananarivo
AMQ,WAPP,Pattimura,-3.710392,128.091881,:Asia/Jayapura
AMS,EHAM,Amsterdam Schiphol,52.308613,4.763889,:Europe/Amsterdam
AMT,KAMT,Alexander Salamon,38.8514749,-83.5662612,:America/New_York
